[trackB-stable-v5] start 2026-08-26T14:08:08+02:00
[trackB-stable-v5] cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr resume=models/student_global_stable_v4.ckpt cfg=configs/student_global_v5.yaml -> models/student_global_stable_v5.ckpt
torch 2.5.1 cuda True dev NVIDIA H200
[Track B] config=configs/student_global_v5.yaml teacher_ckpt=models/teacher_pruned.ckpt (exists=True)
[Track B] target stats from cache c0:mean=0.000589/std=0.002058 c1:mean=1.009e+05/std=1394 c2:mean=278.9/std=21.1
[Track B] input stats from cache c0:mean=211.6/std=10.28 c1:mean=207.9/std=12.08 c2:mean=213/std=8.718 c3:mean=217.9/std=7.402 c4:mean=222.9/std=8.931 ...
[Track B] resumed model+heads from models/student_global_stable_v4.ckpt
[Track B] tp_logit_boost=0.0002 applied to head bias[0]
[Track B] channel_weights (tp,msl,2t)=[6.0, 0.25, 2.5]
[Track B] africa_mix=0.5 mask_frac=0.0945 tp_mode=softplus_soft precip_log1p_weight=6.0 wet_boost=12.0 underpred=4.0 pod=2.0 dry_collapse=1.0 normalize_inputs=True
[Track B] schedule feat@999 (β→0.0, ramp=1) spec@999 (γ→0.0, ramp=1) grad_clip=1.0 norm=True phys=True resume=models/student_global_stable_v4.ckpt
epoch 65 loss=8.098693 L_A=0.248679 L_B=0.000000 L_C=0.000000 L_tp=1.308336 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 66 loss=8.071410 L_A=0.246887 L_B=0.000000 L_C=0.000000 L_tp=1.304087 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 67 loss=8.084843 L_A=0.246617 L_B=0.000000 L_C=0.000000 L_tp=1.306371 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 68 loss=8.069136 L_A=0.246518 L_B=0.000000 L_C=0.000000 L_tp=1.303770 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 69 loss=8.074058 L_A=0.245926 L_B=0.000000 L_C=0.000000 L_tp=1.304689 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 70 loss=8.067864 L_A=0.245306 L_B=0.000000 L_C=0.000000 L_tp=1.303760 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 71 loss=8.070669 L_A=0.245856 L_B=0.000000 L_C=0.000000 L_tp=1.304136 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 72 loss=8.083756 L_A=0.246948 L_B=0.000000 L_C=0.000000 L_tp=1.306135 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 73 loss=8.096424 L_A=0.246860 L_B=0.000000 L_C=0.000000 L_tp=1.308261 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 74 loss=8.075725 L_A=0.246635 L_B=0.000000 L_C=0.000000 L_tp=1.304848 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 75 loss=8.099414 L_A=0.246859 L_B=0.000000 L_C=0.000000 L_tp=1.308759 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 76 loss=8.077173 L_A=0.246417 L_B=0.000000 L_C=0.000000 L_tp=1.305126 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 77 loss=8.103034 L_A=0.247123 L_B=0.000000 L_C=0.000000 L_tp=1.309319 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 78 loss=8.072631 L_A=0.246016 L_B=0.000000 L_C=0.000000 L_tp=1.304436 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 79 loss=8.100113 L_A=0.246873 L_B=0.000000 L_C=0.000000 L_tp=1.308873 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 80 loss=8.059745 L_A=0.245869 L_B=0.000000 L_C=0.000000 L_tp=1.302313 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
saved /local/Mthetho/lapai-forecast/models/student_global_stable_v5.ckpt params 2169377
[trackB-stable-v5] train done 2026-08-26T15:28:08+02:00
